GEO,CROPS,STRUCPRO\TIME	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	27,033.30	25,930.62	25,499.36	26,025.99	22,807.66	:
European Union - 27 countries (from 2020),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	25,210.30	24,138.62	23,751.66	24,210.19	22,807.66	:
European Union - 28 countries (2013-2020),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	27,033.30	25,930.62	25,499.36	26,025.99	:	:
Belgium,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	217.10	201.86	210.76	221.78	215.72	197.59	195.69	203.76	195.00 p	:
Bulgaria,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	1,185.00	1,314.29	1,267.91	1,105.92	1,192.59	1,144.52	1,212.01	1,198.68	1,200.40	1,204.00
Czechia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	815.38	829.39	835.94	829.82	839.71	832.06	819.69	839.45	798.58	784.78
Denmark,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	614.10	567.90	662.10	632.40	583.00	586.60	425.80	573.40	502.60	538.34
Germany (until 1990 former territory of the FRG),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	3,056.70	3,128.20	3,219.70	3,282.70	3,201.70	3,202.60	3,036.30	3,118.10	2,835.50	2,948.00
Estonia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	124.30	124.20	154.40	169.70	164.50	169.75	154.58	166.98	168.04	:
Ireland,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	98.03	60.60	71.61	65.33	67.92	67.05	57.98	63.48	46.41 p	62.02 p
Greece,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	563.20	579.27	545.38	488.20	537.59	415.95	404.49	350.49	331.73 e	316.86
Spain,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	2,188.17	2,124.97	2,171.20	2,176.35	2,256.85	2,062.71	2,063.68	1,920.09	1,914.66	2,068.76 p
France,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	5,303.33	5,319.15	5,297.28	5,480.21	5,542.25	5,332.08	5,234.09	5,244.25	4,513.52	5,229.95
Croatia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	186.95	204.51	156.99	142.68	171.40	118.38	138.46	143.15	145.70	144.90
Italy,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	1,853.64	1,902.16	1,874.18	:	1,912.42	1,806.57	1,821.73	1,754.64	1,711.22	1,770.80
Cyprus,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	8.55	6.92	6.14	11.97	8.39	8.68	10.20	10.59	12.50 e	12.50 e
