GEO,CROPS,STRUCPRO\TIME	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	27,033.30	25,930.62	25,499.36	26,025.99	22,807.66	:
European Union - 27 countries (from 2020),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	25,210.30	24,138.62	23,751.66	24,210.19	22,807.66	:
European Union - 28 countries (2013-2020),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	27,033.30	25,930.62	25,499.36	26,025.99	:	:
Belgium,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	217.10	201.86	210.76	221.78	215.72	197.59	195.69	203.76	195.00 p	:
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Vlaams Gewest,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Prov. Antwerpen,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Prov. Limburg (BE),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Prov. Oost-Vlaanderen,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Prov. Vlaams-Brabant,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Prov. West-Vlaanderen,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Région wallonne,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Prov. Brabant wallon,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Prov. Hainaut,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Prov. Liège,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Prov. Luxembourg (BE),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Prov. Namur,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Extra-Regio NUTS 1,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Extra-Regio NUTS 2,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
