,date,dateRelease,shapeId,comdty,param,value
0,2012-01-01,2021-09-23,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),
1,2012-01-01,2021-09-23,European Union - 27 countries (from 2020),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),
2,2012-01-01,2021-09-23,European Union - 28 countries (2013-2020),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),
3,2012-01-01,2021-09-23,Belgium,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),217.1
4,2012-01-01,2021-09-23,Bulgaria,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),1185.0
5,2012-01-01,2021-09-23,Czechia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),815.38
6,2012-01-01,2021-09-23,Denmark,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),614.1
7,2012-01-01,2021-09-23,Germany (until 1990 former territory of the FRG),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),3056.7
8,2012-01-01,2021-09-23,Estonia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),124.3
9,2012-01-01,2021-09-23,Ireland,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),98.03
10,2012-01-01,2021-09-23,Greece,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),563.2
11,2012-01-01,2021-09-23,Spain,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),2188.17
12,2012-01-01,2021-09-23,France,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),5303.33
13,2012-01-01,2021-09-23,Croatia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),186.95
14,2012-01-01,2021-09-23,Italy,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),1853.64
15,2012-01-01,2021-09-23,Cyprus,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),8.55
16,2012-01-01,2021-09-23,Latvia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),352.4
17,2012-01-01,2021-09-23,Lithuania,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),627.0
18,2012-01-01,2021-09-23,Luxembourg,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),13.52
19,2012-01-01,2021-09-23,Hungary,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),1070.02
20,2012-01-01,2021-09-23,Malta,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),
21,2012-01-01,2021-09-23,Netherlands,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),152.0
22,2012-01-01,2021-09-23,Austria,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),308.18
23,2012-01-01,2021-09-23,Poland,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),2077.2
24,2012-01-01,2021-09-23,Portugal,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),54.79
25,2012-01-01,2021-09-23,Romania,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),1997.63
26,2012-01-01,2021-09-23,Slovenia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),34.59
27,2012-01-01,2021-09-23,Slovakia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),388.14
28,2012-01-01,2021-09-23,Finland,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),227.3
29,2012-01-01,2021-09-23,Sweden,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),366.37
